ID,Name,Surname,Category,Interests,Mentor_ID,Rating
1,Mehmet,Şahin,Sanat,"Dans ve Performans Sanatları, Moda Tasarımı, Resim ve Çizim",23619,3
2,Elif,Yılmaz,Müzik,"Halk Müziği, Klasik Müzik, Metal Müzik",24526,1
3,Fatma,Aydın,Müzik,"Elektronik Müzik, Klasik Müzik, Rap",27743,1
4,Seda,Kaya,Hukuk,"Medeni Hukuk ve Aile Hukuku, Anayasa Hukuku ve İnsan Hakları, Ceza Hukuku ve Adli Yargı",27010,4
5,Veli,Şahin,Sanat,"Moda Tasarımı, Tiyatro ve Drama, Grafik Tasarım",37736,2
6,Yusuf,Aydın,Teknoloji,"Web Geliştirme, İnternet of Things (IoT), Siber Güvenlik",39353,3
7,Elif,Aydın,Teknoloji,"Oyun Geliştirme, Veri Bilimi ve Analitik, Yazılım Geliştirme",35456,1
8,Seda,Demir,Spor,"Basketbol, Yüzme, Yamaç Paraşütü",25505,5
9,Ali,Kaya,Spor,"Basketbol, Voleybol, Bisiklet",23792,2
10,Emre,Kılıç,Sağlık,"Bitkisel Tedaviler, Yoga, Diyet",36678,2
11,Yusuf,Öztürk,Mimar,"İç Mekan Tasarımı, Ofis Yapıları, Yeşil Bina ve Sürdürülebilirlik",23477,4
12,Veli,Öztürk,Spor,"Futbol, Yoga, Pilates",33390,1
13,Seda,Demir,Hukuk,"İdare Hukuku ve Vergilendirme, Anayasa Hukuku ve İnsan Hakları, Medeni Hukuk ve Aile Hukuku",31039,1
14,Ali,Yılmaz,Müzik,"Rock Müzik, Rap, Metal Müzik",36466,3
15,Ali,Öztürk,Spor,"Pilates, Bisiklet, Yüzme",25238,4
16,Ayşe,Demir,Teknoloji,"Bulut Bilişim ve Büyük Veri, Veri Bilimi ve Analitik, Oyun Geliştirme",33823,1
17,Veli,Yılmaz,Teknoloji,"Veri Bilimi ve Analitik, Web Geliştirme, Yapay Zeka ve Makine Öğrenimi",31695,4
18,Yusuf,Karaduman,Mimar,"Parklar, Endüstriyel Tasarım, Peyzaj Tasarımı",31761,4
19,Ahmet,Yıldız,Sağlık,"Bitkisel Tedaviler, Diyet, Yoga",33583,1
20,Ayşe,Çelik,Hukuk,"Fikri Mülkiyet Hukuku, İdare Hukuku ve Vergilendirme, Ticaret ve Şirket Hukuku",38491,4
21,Elif,Yıldız,Teknoloji,"Yazılım Geliştirme, Yapay Zeka ve Makine Öğrenimi, Web Geliştirme",23901,4
22,Elif,Aydın,Sağlık,"Psikoloji, Meditasyon, Yoga",31511,5
23,Fatma,Yılmaz,Hukuk,"Çevre Hukuku ve Enerji Hukuku, Anayasa Hukuku ve İnsan Hakları, Ceza Hukuku ve Adli Yargı",35523,4
24,Mehmet,Aydın,Spor,"Yüzme, Voleybol, Pilates",31416,4
25,Emre,Demir,Sanat,"Grafik Tasarım, Dans ve Performans Sanatları, Film Yapımı ve Sinematografi",37173,1
26,Yusuf,Aydın,Hukuk,"Anayasa Hukuku ve İnsan Hakları, Fikri Mülkiyet Hukuku, Ticaret ve Şirket Hukuku",28670,2
27,Fatma,Şahin,Müzik,"Pop Müzik, Rap, Halk Müziği",38391,2
28,Ali,Öztürk,Hukuk,"Ceza Hukuku ve Adli Yargı, Uluslararası Hukuk ve Diplomasi, Gayrimenkul ve Emlak Hukuku",31727,5
29,Mehmet,Çelik,Edebiyat,"Bilim Kurgu, Makale, Roman Yazımı",23015,3
30,Veli,Kılıç,Hukuk,"Ticaret ve Şirket Hukuku, Medeni Hukuk ve Aile Hukuku, İş Hukuku ve İşçi Hakları",29104,3
31,Ali,Yıldız,Spor,"Yamaç Paraşütü, Fitness, Yüzme",34361,5
32,Elif,Kılıç,Mimar,"Endüstriyel Tasarım, Yapı Teknolojileri ve Malzemeler, İç Mekan Tasarımı",21800,5
33,Seda,Şahin,Mimar,"Mimari Teori ve Eleştiri, Ulaşım ve Altyapı Tasarımı, Restorasyon",33163,1
34,Emre,Kılıç,Spor,"Voleybol, Futbol, Fitness",35720,3
35,Yusuf,Kaya,Müzik,"Rock Müzik, Rap, Klasik Müzik",32578,3
36,Elif,Karaduman,Sanat,"Fotoğrafçılık, Moda Tasarımı, Tiyatro ve Drama",39025,5
37,Mehmet,Kılıç,Yemek,"Fransız Mutfağı, Izgara Yemekler, Tatlı",37475,2
38,Ali,Karaduman,Hukuk,"İdare Hukuku ve Vergilendirme, Anayasa Hukuku ve İnsan Hakları, Çevre Hukuku ve Enerji Hukuku",31430,1
39,Yusuf,Demir,Teknoloji,"Siber Güvenlik, Veri Bilimi ve Analitik, Mobil Uygulama Geliştirme",32492,1
40,Ali,Öztürk,Mimar,"Mimari Teori ve Eleştiri, Ofis Yapıları, Peyzaj Tasarımı",38208,4
41,Ali,Yıldız,Edebiyat,"Felsefe, Bilim Kurgu, Makale",31537,3
42,Fatma,Kılıç,Mimar,"Ofis Yapıları, Mimari Teori ve Eleştiri, Endüstriyel Tasarım",23163,3
43,Ahmet,Yıldız,Sanat,"Resim ve Çizim, Fotoğrafçılık, Grafik Tasarım",29977,4
44,Veli,Yılmaz,Mimar,"Peyzaj Tasarımı, Mimari Teori ve Eleştiri, İç Mekan Tasarımı",28078,3
45,Seda,Çelik,Spor,"Futbol, Voleybol, Pilates",23792,3
46,Mehmet,Yıldız,Mimar,"Restorasyon, Yapı Teknolojileri ve Malzemeler, Mimari Teori ve Eleştiri",33365,3
47,Seda,Çelik,Edebiyat,"Drama, Çocuk Edebiyatı, Tarih",32552,3
48,Ali,Demir,Sanat,"Dans ve Performans Sanatları, Fotoğrafçılık, Tiyatro ve Drama",31046,4
49,Veli,Yılmaz,Mimar,"Restorasyon, Ulaşım ve Altyapı Tasarımı, Yapı Teknolojileri ve Malzemeler",32574,5
50,Seda,Öztürk,Hukuk,"Gayrimenkul ve Emlak Hukuku, Anayasa Hukuku ve İnsan Hakları, Çevre Hukuku ve Enerji Hukuku",34969,4
51,Ayşe,Yıldız,Spor,"Tenis, Basketbol, Fitness",27270,3
52,Elif,Öztürk,Sanat,"Moda Tasarımı, Grafik Tasarım, Fotoğrafçılık",24667,1
53,Mehmet,Yıldız,Yemek,"Tatlı, İtalyan Mutfağı, Deniz Ürünleri",38073,2
54,Seda,Öztürk,Müzik,"Elektronik Müzik, Metal Müzik, Rap",21237,2
55,Seda,Aydın,Spor,"Fitness, Tenis, Bisiklet",30191,5
56,Ali,Yılmaz,Teknoloji,"Oyun Geliştirme, Siber Güvenlik, Mobil Uygulama Geliştirme",21582,5
57,Ali,Çelik,Müzik,"Elektronik Müzik, Pop Müzik, Metal Müzik",30287,5
58,Mehmet,Şahin,Hukuk,"Uluslararası Hukuk ve Diplomasi, Çevre Hukuku ve Enerji Hukuku, İdare Hukuku ve Vergilendirme",20876,4
59,Ahmet,Kılıç,Edebiyat,"Deneme, Şiir, Tarih",34695,5
60,Emre,Yılmaz,Spor,"Pilates, Tenis, Yüzme",21899,1
61,Yusuf,Öztürk,Mimar,"Ofis Yapıları, Yapı Teknolojileri ve Malzemeler, Yeşil Bina ve Sürdürülebilirlik",20891,2
62,Fatma,Çelik,Edebiyat,"Bilim Kurgu, Tiyatro, Çocuk Edebiyatı",26012,5
63,Yusuf,Yılmaz,Mimar,"Yapı Teknolojileri ve Malzemeler, Restorasyon, Endüstriyel Tasarım",21125,3
64,Emre,Öztürk,Edebiyat,"Tarih, Makale, Şiir",20131,1
65,Ahmet,Yıldız,Hukuk,"Fikri Mülkiyet Hukuku, Ceza Hukuku ve Adli Yargı, Medeni Hukuk ve Aile Hukuku",35727,5
66,Yusuf,Kılıç,Sağlık,"Bitkisel Tedaviler, Diyet, Psikoloji",30853,1
67,Emre,Yılmaz,Müzik,"Klasik Müzik, Pop Müzik, Jazz Müzik",23361,2
68,Mehmet,Karaduman,Sanat,"Film Yapımı ve Sinematografi, Tiyatro ve Drama, Grafik Tasarım",22113,4
69,Yusuf,Kaya,Teknoloji,"Yapay Zeka ve Makine Öğrenimi, Veri Bilimi ve Analitik, Otomasyon ve Robotik",39003,5
70,Veli,Kılıç,Teknoloji,"Veri Bilimi ve Analitik, Otomasyon ve Robotik, Mobil Uygulama Geliştirme",39772,2
71,Elif,Yılmaz,Spor,"Bisiklet, Futbol, Fitness",29872,5
72,Seda,Kılıç,Sanat,"Moda Tasarımı, Dans ve Performans Sanatları, Grafik Tasarım",35180,4
73,Ayşe,Karaduman,Sağlık,"Bitkisel Tedaviler, Diyet, Yoga",37113,2
74,Fatma,Kılıç,Sanat,"Dans ve Performans Sanatları, Resim ve Çizim, Grafik Tasarım",26036,3
75,Fatma,Öztürk,Hukuk,"Çevre Hukuku ve Enerji Hukuku, Medeni Hukuk ve Aile Hukuku, Ticaret ve Şirket Hukuku",24402,4
76,Mehmet,Yıldız,Edebiyat,"Çocuk Edebiyatı, Deneme, Fantastik Kurgu",21402,4
77,Ahmet,Demir,Teknoloji,"Web Geliştirme, Otomasyon ve Robotik, İnternet of Things (IoT)",32325,3
78,Mehmet,Aydın,Mimar,"Ofis Yapıları, Yapı Teknolojileri ve Malzemeler, Ulaşım ve Altyapı Tasarımı",22528,1
79,Seda,Kılıç,Spor,"Pilates, Fitness, Futbol",30169,3
80,Veli,Kılıç,Spor,"Pilates, Tenis, Basketbol",34570,5
81,Fatma,Çelik,Teknoloji,"İnternet of Things (IoT), Otomasyon ve Robotik, Siber Güvenlik",35841,3
82,Emre,Kılıç,Yemek,"Tatlı, Geleneksel Mutfaklar, Deniz Ürünleri",29507,1
83,Seda,Şahin,Edebiyat,"Fantastik Kurgu, Drama, Şiir",22870,3
84,Ayşe,Çelik,Sağlık,"Psikoloji, Diyet, Bitkisel Tedaviler",35474,3
85,Ayşe,Kılıç,Hukuk,"Fikri Mülkiyet Hukuku, Medeni Hukuk ve Aile Hukuku, Ceza Hukuku ve Adli Yargı",35246,1
86,Elif,Öztürk,Müzik,"Klasik Müzik, Rap, Elektronik Müzik",27840,2
87,Emre,Demir,Teknoloji,"Mobil Uygulama Geliştirme, Bulut Bilişim ve Büyük Veri, Web Geliştirme",21929,2
88,Seda,Demir,Mimar,"Restorasyon, İç Mekan Tasarımı, Yapı Teknolojileri ve Malzemeler",35451,3
89,Veli,Yıldız,Sağlık,"Meditasyon, Psikoloji, Bitkisel Tedaviler",23752,4
90,Elif,Çelik,Hukuk,"Ceza Hukuku ve Adli Yargı, İdare Hukuku ve Vergilendirme, İş Hukuku ve İşçi Hakları",34355,2
91,Ali,Şahin,Teknoloji,"Siber Güvenlik, İnternet of Things (IoT), Oyun Geliştirme",20997,1
92,Mehmet,Karaduman,Mimar,"Endüstriyel Tasarım, Yapı Teknolojileri ve Malzemeler, Restorasyon",35010,2
93,Yusuf,Kaya,Sağlık,"Meditasyon, Yoga, Psikoloji",29590,3
94,Veli,Kaya,Sanat,"Moda Tasarımı, Resim ve Çizim, Grafik Tasarım",38714,3
95,Emre,Yılmaz,Mimar,"Yeşil Bina ve Sürdürülebilirlik, Peyzaj Tasarımı, Ulaşım ve Altyapı Tasarımı",38750,5
96,Emre,Demir,Mimar,"İç Mekan Tasarımı, Parklar, Yeşil Bina ve Sürdürülebilirlik",35131,5
97,Veli,Yıldız,Hukuk,"İş Hukuku ve İşçi Hakları, Ceza Hukuku ve Adli Yargı, Anayasa Hukuku ve İnsan Hakları",34092,5
98,Veli,Karaduman,Hukuk,"Uluslararası Hukuk ve Diplomasi, İş Hukuku ve İşçi Hakları, Ticaret ve Şirket Hukuku",28838,1
99,Yusuf,Yıldız,Teknoloji,"Yapay Zeka ve Makine Öğrenimi, Oyun Geliştirme, Web Geliştirme",34813,3
100,Ahmet,Kaya,Spor,"Futbol, Voleybol, Yoga",25875,5
101,Mehmet,Karaduman,Hukuk,"İş Hukuku ve İşçi Hakları, Ticaret ve Şirket Hukuku, Anayasa Hukuku ve İnsan Hakları",21995,3
102,Seda,Kılıç,Teknoloji,"İnternet of Things (IoT), Oyun Geliştirme, Yapay Zeka ve Makine Öğrenimi",29002,5
103,Elif,Kılıç,Hukuk,"Fikri Mülkiyet Hukuku, Uluslararası Hukuk ve Diplomasi, Ceza Hukuku ve Adli Yargı",30575,5
104,Veli,Şahin,Müzik,"Rap, Jazz Müzik, Metal Müzik",36151,1
105,Mehmet,Karaduman,Spor,"Pilates, Fitness, Voleybol",36661,4
106,Seda,Yıldız,Sağlık,"Diyet, Psikoloji, Meditasyon",34448,3
107,Emre,Kaya,Mimar,"Peyzaj Tasarımı, Restorasyon, Endüstriyel Tasarım",21206,2
108,Seda,Çelik,Spor,"Tenis, Yoga, Fitness",30149,4
109,Elif,Çelik,Sağlık,"Meditasyon, Yoga, Bitkisel Tedaviler",28134,2
110,Seda,Yılmaz,Teknoloji,"Web Geliştirme, Siber Güvenlik, İnternet of Things (IoT)",29879,5
