ID,Name,Surname,Category,Interests
20001,Elif,Aydın,Edebiyat,"Drama, Tiyatro, Makale"
20002,Seda,Kılıç,Yemek,"Moleküler Gastronomi, Izgara Yemekler, İtalyan Mutfağı"
20003,Elif,Yıldız,Spor,"Yoga, Tenis, Futbol"
20004,Mehmet,Demir,Yemek,"Fransız Mutfağı, Vejetaryen Mutfak, Tatlı"
20005,Ali,Demir,Mimar,"Ulaşım ve Altyapı Tasarımı, Mimari Teori ve Eleştiri, Parklar"
20006,Emre,Demir,Müzik,"Metal Müzik, Rock Müzik, Klasik Müzik"
20007,Elif,Karaduman,Sağlık,"Diyet, Meditasyon, Yoga"
20008,Ahmet,Öztürk,Yemek,"Tatlı, Vejetaryen Mutfak, Izgara Yemekler"
20009,Fatma,Aydın,Yemek,"Geleneksel Mutfaklar, Deniz Ürünleri, Kafein Kültürü"
20010,Veli,Karaduman,Müzik,"Halk Müziği, Klasik Müzik, Jazz Müzik"
20011,Ahmet,Öztürk,Mimar,"Yeşil Bina ve Sürdürülebilirlik, Peyzaj Tasarımı, Yapı Teknolojileri ve Malzemeler"
20012,Elif,Karaduman,Yemek,"Geleneksel Mutfaklar, Kafein Kültürü, Deniz Ürünleri"
20013,Ahmet,Karaduman,Spor,"Fitness, Tenis, Yamaç Paraşütü"
20014,Ali,Şahin,Müzik,"Metal Müzik, Rap, Pop Müzik"
20015,Ayşe,Kaya,Spor,"Fitness, Yoga, Futbol"
20016,Fatma,Karaduman,Sanat,"Moda Tasarımı, Grafik Tasarım, Film Yapımı ve Sinematografi"
20017,Mehmet,Çelik,Sanat,"Tiyatro ve Drama, Grafik Tasarım, Moda Tasarımı"
20018,Fatma,Aydın,Hukuk,"Gayrimenkul ve Emlak Hukuku, Ceza Hukuku ve Adli Yargı, Medeni Hukuk ve Aile Hukuku"
20019,Ayşe,Demir,Yemek,"Moleküler Gastronomi, Vejetaryen Mutfak, Fransız Mutfağı"
20020,Ayşe,Yılmaz,Spor,"Voleybol, Yüzme, Pilates"
20021,Ayşe,Karaduman,Yemek,"Vejetaryen Mutfak, Moleküler Gastronomi, Kafein Kültürü"
20022,Yusuf,Çelik,Sağlık,"Bitkisel Tedaviler, Diyet, Yoga"
20023,Veli,Yılmaz,Sağlık,"Psikoloji, Bitkisel Tedaviler, Meditasyon"
20024,Veli,Kılıç,Hukuk,"Uluslararası Hukuk ve Diplomasi, Anayasa Hukuku ve İnsan Hakları, Gayrimenkul ve Emlak Hukuku"
20025,Seda,Yılmaz,Hukuk,"Fikri Mülkiyet Hukuku, İdare Hukuku ve Vergilendirme, Çevre Hukuku ve Enerji Hukuku"
20026,Elif,Öztürk,Müzik,"Rap, Elektronik Müzik, Jazz Müzik"
20027,Fatma,Kaya,Spor,"Basketbol, Futbol, Fitness"
20028,Elif,Şahin,Müzik,"Rap, Halk Müziği, Elektronik Müzik"
20029,Ali,Demir,Hukuk,"İş Hukuku ve İşçi Hakları, Medeni Hukuk ve Aile Hukuku, Ceza Hukuku ve Adli Yargı"
20030,Yusuf,Şahin,Sanat,"Film Yapımı ve Sinematografi, Dans ve Performans Sanatları, Tiyatro ve Drama"
20031,Ayşe,Demir,Müzik,"Jazz Müzik, Elektronik Müzik, Metal Müzik"
20032,Yusuf,Yıldız,Spor,"Basketbol, Yüzme, Futbol"
20033,Ahmet,Kaya,Teknoloji,"İnternet of Things (IoT), Siber Güvenlik, Bulut Bilişim ve Büyük Veri"
20034,Seda,Yıldız,Mimar,"Endüstriyel Tasarım, Restorasyon, Ulaşım ve Altyapı Tasarımı"
20035,Mehmet,Çelik,Spor,"Yüzme, Pilates, Bisiklet"
20036,Mehmet,Demir,Edebiyat,"Tarih, Şiir, Drama"
20037,Seda,Karaduman,Mimar,"Yapı Teknolojileri ve Malzemeler, Parklar, Endüstriyel Tasarım"
20038,Ali,Kaya,Hukuk,"Uluslararası Hukuk ve Diplomasi, İş Hukuku ve İşçi Hakları, Çevre Hukuku ve Enerji Hukuku"
20039,Mehmet,Kaya,Mimar,"Restorasyon, Mimari Teori ve Eleştiri, Parklar"
20040,Veli,Çelik,Edebiyat,"Tarih, Tiyatro, Çocuk Edebiyatı"
20041,Ali,Çelik,Spor,"Tenis, Bisiklet, Basketbol"
20042,Ayşe,Kılıç,Teknoloji,"Mobil Uygulama Geliştirme, Oyun Geliştirme, Yapay Zeka ve Makine Öğrenimi"
